run_accession	sample_accession	scientific_name	study_title
ERR2930821	SAMEA5131598	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930822	SAMEA5131614	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930827	SAMEA5131611	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930828	SAMEA5131685	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930830	SAMEA5131668	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930833	SAMEA5131603	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930836	SAMEA5131692	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930838	SAMEA5131654	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930842	SAMEA5131628	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930845	SAMEA5131691	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930848	SAMEA5131672	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930850	SAMEA5131709	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930854	SAMEA5131592	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930857	SAMEA5131661	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930860	SAMEA5131643	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930875	SAMEA5131655	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930876	SAMEA5131671	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930878	SAMEA5131689	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930880	SAMEA5131676	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930755	SAMEA5131639	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930762	SAMEA5131670	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930766	SAMEA5131698	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930767	SAMEA5131599	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930770	SAMEA5131675	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930775	SAMEA5131588	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930784	SAMEA5131602	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930788	SAMEA5131656	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930789	SAMEA5131653	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930790	SAMEA5131615	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930792	SAMEA5131608	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930794	SAMEA5131701	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930799	SAMEA5131625	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930802	SAMEA5131707	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930803	SAMEA5131634	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930805	SAMEA5131714	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930813	SAMEA5131684	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930814	SAMEA5131613	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930815	SAMEA5131623	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930816	SAMEA5131705	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930818	SAMEA5131716	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930819	SAMEA5131694	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930823	SAMEA5131712	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
